city,city_ascii,lat,lng,admin_name,population,admin_name_english
Dębica,Debica,"50,05","21,4167",Podkarpackie,44047,Subcarpathian
Ząbki,Zabki,"52,2928","21,1161",Mazowieckie,43740,Mazovia
Ciechanów,Ciechanow,"52,8667","20,6333",Mazowieckie,42705,Mazovia
Kutno,Kutno,"52,2333","19,3667",Łódzkie,42255,Łódź Voivodeship
Marki,Marki,"52,3333","21,1",Mazowieckie,42252,Mazovia
Nysa,Nysa,"50,4714","17,3339",Opolskie,42151,Opole Voivodeship
Mikołów,Mikolow,"50,1667","18,9",Śląskie,41266,Silesia
Mińsk Mazowiecki,Minsk Mazowiecki,"52,1833","21,5667",Mazowieckie,40467,Mazovia
Świnoujście,Swinoujscie,"53,9167","14,25",Zachodniopomorskie,40204,West Pomerania
Sieradz,Sieradz,"51,6","18,75",Łódzkie,40014,Łódź Voivodeship
Żyrardów,Zyrardow,"52,05","20,4333",Mazowieckie,39374,Mazovia
Chojnice,Chojnice,"53,7","17,55",Pomorskie,39275,Pomerania
Szczecinek,Szczecinek,"53,7167","16,6833",Zachodniopomorskie,38446,West Pomerania
Świdnik,Swidnik,"51,2167","22,7",Lubelskie,37884,Lublin Voivodeship
Kwidzyn,Kwidzyn,"53,7358","18,9308",Pomorskie,37768,Pomerania
Malbork,Malbork,"54,0333","19,0333",Pomorskie,37635,Pomerania
Bolesławiec,Boleslawiec,"51,2667","15,5667",Dolnośląskie,37559,Lower Silesia
Oświęcim,Oswiecim,"50,0381","19,2214",Małopolskie,36956,Lesser Poland
Nowa Sól,Nowa Sol,"51,8","15,7167",Lubuskie,36843,Lubusz
Knurów,Knurow,"50,2167","18,6833",Śląskie,36498,Silesia
Wołomin,Wolomin,"52,35","21,2333",Mazowieckie,36311,Mazovia
Jarosław,Jaroslaw,"50,0186","22,6797",Podkarpackie,36303,Subcarpathian
Żary,Zary,"51,6333","15,1333",Lubuskie,36004,Lubusz
Oleśnica,Olesnica,"51,2","17,3833",Dolnośląskie,35856,Lower Silesia
Sanok,Sanok,"49,55","22,2167",Podkarpackie,35546,Subcarpathian
Czechowice-Dziedzice,Czechowice-Dziedzice,"49,9131","19,0064",Śląskie,35261,Silesia
Chrzanów,Chrzanow,"50,1333","19,4",Małopolskie,35091,Lesser Poland
Lębork,Lebork,"54,55","17,75",Pomorskie,34500,Pomerania
Brzeg,Brzeg,"50,8667","17,4833",Opolskie,34492,Opole Voivodeship
Sochaczew,Sochaczew,"52,2333","20,2333",Mazowieckie,34439,Mazovia
Podgórze,Podgorze,"50,0417","19,9833",Małopolskie,34045,Lesser Poland
Cieszyn,Cieszyn,"49,7484","18,6332",Śląskie,33958,Silesia
Jasło,Jaslo,"49,7478","21,4714",Podkarpackie,33830,Subcarpathian
